act,scene,character,dialogue,line_number
Act I,Scene I,Saturninus,That said'st I begg'd the empire at thy hands.,312
Act I,Scene I,Titus Andronicus,O monstrous! what reproachful words are these?,313
Act I,Scene I,Saturninus,"But go thy ways; go, give that changing piece",314
Act I,Scene I,Saturninus,To him that flourish'd for her with his sword,315
Act I,Scene I,Saturninus,A valiant son-in-law thou shalt enjoy;,316
Act I,Scene I,Saturninus,"One fit to bandy with thy lawless sons,",317
Act I,Scene I,Saturninus,To ruffle in the commonwealth of Rome.,318
Act I,Scene I,Titus Andronicus,These words are razors to my wounded heart.,319
Act I,Scene I,Saturninus,"And therefore, lovely Tamora, queen of Goths,",320
Act I,Scene I,Saturninus,That like the stately Phoebe 'mongst her nymphs,321
Act I,Scene I,Saturninus,"Dost overshine the gallant'st dames of Rome,",322
Act I,Scene I,Saturninus,"If thou be pleased with this my sudden choice,",323
Act I,Scene I,Saturninus,"Behold, I choose thee, Tamora, for my bride,",324
Act I,Scene I,Saturninus,"And will create thee empress of Rome,",325
Act I,Scene I,Saturninus,"Speak, Queen of Goths, dost thou applaud my choice?",326
Act I,Scene I,Saturninus,"And here I swear by all the Roman gods,",327
Act I,Scene I,Saturninus,Sith priest and holy water are so near,328
Act I,Scene I,Saturninus,And tapers burn so bright and every thing,329
Act I,Scene I,Saturninus,"In readiness for Hymenaeus stand,",330
Act I,Scene I,Saturninus,"I will not re-salute the streets of Rome,",331
Act I,Scene I,Saturninus,"Or climb my palace, till from forth this place",332
Act I,Scene I,Saturninus,I lead espoused my bride along with me.,333
Act I,Scene I,Tamora,"And here, in sight of heaven, to Rome I swear,",334
Act I,Scene I,Tamora,"If Saturnine advance the Queen of Goths,",335
Act I,Scene I,Tamora,"She will a handmaid be to his desires,",336
Act I,Scene I,Tamora,"A loving nurse, a mother to his youth.",337
Act I,Scene I,Saturninus,"Ascend, fair queen, Pantheon. Lords, accompany",338
Act I,Scene I,Saturninus,"Your noble emperor and his lovely bride,",339
Act I,Scene I,Saturninus,"Sent by the heavens for Prince Saturnine,",340
Act I,Scene I,Saturninus,Whose wisdom hath her fortune conquered:,341
Act I,Scene I,Saturninus,There shall we consummate our spousal rites.,342
Act I,Scene I,[stage direction],Exeunt all but TITUS,NA
Act I,Scene I,Titus Andronicus,I am not bid to wait upon this bride.,343
Act I,Scene I,Titus Andronicus,"Titus, when wert thou wont to walk alone,",344
Act I,Scene I,Titus Andronicus,"Dishonour'd thus, and challenged of wrongs?",345
Act I,Scene I,[stage direction],"Re-enter MARCUS, LUCIUS, QUINTUS, and MARTIUS",NA
Act I,Scene I,Marcus Andronicus,"O Titus, see, O, see what thou hast done!",346
Act I,Scene I,Marcus Andronicus,In a bad quarrel slain a virtuous son.,347
Act I,Scene I,Titus Andronicus,"No, foolish tribune, no; no son of mine,",348
Act I,Scene I,Titus Andronicus,"Nor thou, nor these, confederates in the deed",349
Act I,Scene I,Titus Andronicus,That hath dishonour'd all our family;,350
Act I,Scene I,Titus Andronicus,"Unworthy brother, and unworthy sons!",351
Act I,Scene I,Lucius,"But let us give him burial, as becomes;",352
Act I,Scene I,Lucius,Give Mutius burial with our brethren.,353
Act I,Scene I,Titus Andronicus,"Traitors, away! he rests not in this tomb:",354
Act I,Scene I,Titus Andronicus,"This monument five hundred years hath stood,",355
Act I,Scene I,Titus Andronicus,Which I have sumptuously re-edified:,356
Act I,Scene I,Titus Andronicus,Here none but soldiers and Rome's servitors,357
Act I,Scene I,Titus Andronicus,Repose in fame; none basely slain in brawls:,358
Act I,Scene I,Titus Andronicus,Bury him where you can; he comes not here.,359
Act I,Scene I,Marcus Andronicus,"My lord, this is impiety in you:",360
Act I,Scene I,Marcus Andronicus,My nephew Mutius' deeds do plead for him,361
Act I,Scene I,Marcus Andronicus,He must be buried with his brethren.,362
