Title,Genre,URL,File
"CXLIV. Two loves I have of comfort and despair,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLIV.html,sonnetCXLIV
CXLV. Those lips that Love's own hand did make,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLV.html,sonnetCXLV
"CXLVI. Poor soul, the centre of my sinful earth,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLVI.html,sonnetCXLVI
"CXLVII. My love is as a fever, longing still",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLVII.html,sonnetCXLVII
"CXLVIII. O me, what eyes hath Love put in my head,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLVIII.html,sonnetCXLVIII
"CXLIX. Canst thou, O cruel! say I love thee not,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CXLIX.html,sonnetCXLIX
"CL. O, from what power hast thou this powerful might",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CL.html,sonnetCL
CLI. Love is too young to know what conscience is;,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CLI.html,sonnetCLI
"CLII. In loving thee thou know'st I am forsworn,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CLII.html,sonnetCLII
"CLIII. Cupid laid by his brand, and fell asleep:",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CLIII.html,sonnetCLIII
CLIV. The little Love-god lying once asleep,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.CLIV.html,sonnetCLIV
