act,scene,character,dialogue,line_number
Act II,Scene I,Chatillon,"In brief, a braver choice of dauntless spirits",350
Act II,Scene I,Chatillon,Than now the English bottoms have waft o'er,351
Act II,Scene I,Chatillon,"Did nearer float upon the swelling tide,",352
Act II,Scene I,Chatillon,To do offence and scath in Christendom.,353
Act II,Scene I,[stage direction],Drum beats,NA
Act II,Scene I,Chatillon,The interruption of their churlish drums,354
Act II,Scene I,Chatillon,"Cuts off more circumstance: they are at hand,",355
Act II,Scene I,Chatillon,To parley or to fight; therefore prepare.,356
Act II,Scene I,King Philip,How much unlook'd for is this expedition!,357
Act II,Scene I,Austria,"By how much unexpected, by so much",358
Act II,Scene I,Austria,We must awake endavour for defence;,359
Act II,Scene I,Austria,For courage mounteth with occasion:,360
Act II,Scene I,Austria,Let them be welcome then: we are prepared.,361
Act II,Scene I,[stage direction],"Enter KING JOHN, QUEEN ELINOR, BLANCH, the BASTARD, Lords, and forces",NA
Act II,Scene I,King John,"Peace be to France, if France in peace permit",362
Act II,Scene I,King John,Our just and lineal entrance to our own;,363
Act II,Scene I,King John,"If not, bleed France, and peace ascend to heaven,",364
Act II,Scene I,King John,"Whiles we, God's wrathful agent, do correct",365
Act II,Scene I,King John,Their proud contempt that beats His peace to heaven.,366
Act II,Scene I,King Philip,"Peace be to England, if that war return",367
Act II,Scene I,King Philip,"From France to England, there to live in peace.",368
Act II,Scene I,King Philip,England we love; and for that England's sake,369
Act II,Scene I,King Philip,With burden of our armour here we sweat.,370
Act II,Scene I,King Philip,This toil of ours should be a work of thine;,371
Act II,Scene I,King Philip,"But thou from loving England art so far,",372
Act II,Scene I,King Philip,That thou hast under-wrought his lawful king,373
Act II,Scene I,King Philip,"Cut off the sequence of posterity,",374
Act II,Scene I,King Philip,Out-faced infant state and done a rape,375
Act II,Scene I,King Philip,Upon the maiden virtue of the crown.,376
Act II,Scene I,King Philip,Look here upon thy brother Geffrey's face;,377
Act II,Scene I,King Philip,"These eyes, these brows, were moulded out of his:",378
